disasterNo,year,seq,group,subgroup_id,type_id,subtype,eventName,country,iso,region_id,continent_id,location,startYear,startMonth,startDay,endYear,endMonth,endDay,totalDeaths,injured,Affected,homeless,totalAffected,damageCost
2001-0051-IDN,2001,51,Natural,Hydrological,Flood,Flash flood,,Indonesia,IDN,South-EasternAsia,Asia,"Bogor district (Jawa Barat province), Bojonegoro, Jember, Kota Jember districts (Jawa Timur province), Kota Gorontalo district (Gorontalo province), Lebak, Pandeglang, Tangerang districts (Banten province), Dki Jakarta province",2001,2,4,2001,2,18,130,,80000,,80000,10000
2001-0023-GTM,2001,23,Natural,Geophysical,Earthquake,Ground movement,,Guatemala,GTM,CentralAmerica,Americas,Jutapia province,2001,1,13,2001,1,13,6,2,150,,152,50
2001-0041-IDN,2001,41,Natural,Hydrological,Landslide,Landslide,,Indonesia,IDN,South-EasternAsia,Asia,"Cipanas village (Lebak district, Banten province)",2001,2,8,2001,2,12,122,,,23000,23000,10000
2001-0033-IND,2001,33,Natural,Geophysical,Earthquake,Ground movement,,India,IND,SouthernAsia,Asia,"Ahmadabad, Amreli, Anand, Banas Kantha, Bharuch, Bhavnagar, Dahdod, Gandhinagar, Jamnagar, Junagadh, Kachchh, Kheda, Mahesana, Navsari, Patan, Porbandar, Rajkot, Sabar Kantha, Surat, Surendranagar, Vadodara districts (Gurajat province)",2001,1,26,2001,1,26,20005,166812,4365000,1790000,6321812,2623000
2001-0032-KEN,2001,32,Natural,Hydrological,Flood,Riverine flood,,Kenya,KEN,EasternAfrica,Africa,Nairobi district (Nairobi province),2001,1,13,2001,1,14,4,,,,,38
2001-0010-KOR,2001,10,Natural,Meteorological,Storm,,,Korea (the Republic of),KOR,EasternAsia,Asia,"Seoul, Kyonggi-do, Chungchongnam-do, Kyongsangbuk-do, Kyongsangnam-do provinces",2001,1,8,2001,1,8,11,300,,,300,290000
2001-0019-MOZ,2001,19,Natural,Hydrological,Flood,Coastal flood,,Mozambique,MOZ,EasternAfrica,Africa,"Nhacolo town (Tambara district, Manica province), Nova Mambone area (Govuro district, Inhambane province), Nicoadala, Namacurra, Pebane, Chinde, Maganja da Costa, Morrumbala, Mopeia, Cidade de Quelimane districts (Zambezia province), Cidade da Beira, Buzi, Chibabava, Dondo, Marromeu, Nhamatanda, Caia, Chemba districts (Sofala province),Mutarara, Zumbo, Magoe, Macanga, Cidad de Tete districts (Tete province), Massangena district (Gaza province)",2001,1,1,2001,4,27,79,,549326,,549326,36000
2001-0025-MWI,2001,25,Natural,Hydrological,Flood,Coastal flood,,Malawi,MWI,EasternAfrica,Africa,"Chikwawa, Nsanje, Machinga, Blantyre, Phalombe, Zomba, Mangochi, Thyolo, Mwanza districts (Southern Region province), Dedza, Nkhotakota, Salima, Mchinji, Kasungu districts (Southern Region province), Karonga districts (Southern Region province)",2001,1,,2001,1,,59,,500000,,500000,6700
1998-0600-USA,1998,600,Natural,Meteorological,Storm,,,United States ofAmerica (the),USA,NorthernAmerica,Americas,"AR, MO Illinois, Kentucky, Tennessee",1998,4,15,1998,4,17,4,19,1200,,1219,450500
1998-0608-RUS,1998,608,Natural,Hydrological,Flood,Riverine flood,,Russian Federation (the),RUS,EasternEurope,Europe,Coast of Azov Sea to Krasnodar Kuban region,1998,2,18,1998,3,7,1,,88000,,88000,13000
